Armenia,1
Australia,3
Bangladesh,2
Belgium,2
Brazil,12
Canada,27
China,19
Colombia,1
Costa Rica,1
Czech Republic,1
Denmark,1
Ecuador,1
Egypt,5
Ethiopia,1
Finland,2
France,5
Germany,19
Ghana,1
Greece,1
Hong Kong,2
India,928
Indonesia,5
Iran,1
Ireland,1
Italy,4
Jordan,1
Kazakhstan,2
Kenya,1
Lithuania,1
Malaysia,2
Mexico,21
Morocco,2
Nepal,3
Netherlands,3
Nigeria,1
Pakistan,14
Palestine,3
Panama,1
Philippines,2
Poland,2
Portugal,1
Russia,1
Serbia,1
Singapore,4
South Korea,8
Spain,7
Sri Lanka,23
Sudan,1
Sudan,18
Sweden,2
Switzerland,7
Taiwan,1
Tunisia,2
Turkey,1
UAE,1
Uganda,1
UK,26
Ukraine,2
USA,441
Uzbekistan,1
Venezuela,1
Vietnam,2